,Date added,Class,dye,start,start_join,join1,join2,join3,join4,join5,join6,join7,full_lib,exit_point,exit_reason,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Name,Buffer thermochromism (Exp0537),Reactive flagged by Guy (Exp0560),SMILES
293,11/11/16,SYPRO,SYPRO,0,0.3,0.4,0.6,0.8,0.9,1,1.1,1.2,1.5,2.5,library1,libv0,libv1,libv2,libv3,libv4,tech_final,BF-188,Negligible,Unflagged,CNC1=CC=C(/C=C/C=C/C2=NC3=C(C=CC=C3)N2)C=C1
59,9/16/17,T,T001,0.1,0.4,,0.6,0.8,0.9,1,1.1,1.2,1.5,,library1,libv1,libv2,libv3,libv4,,tech_final,PBB3,Negligible,Unflagged,COC1=CC=C2C(SC(/C=C/C=C/C3=CN=C(NC)C=C3)=[N+]2CC)=C1
60,9/16/17,T,T002,0.1,0.4,,0.6,0.8,0.9,1,1.1,1.2,1.5,,,libv1,libv2,libv3,libv4,,tech_final,FSB,Negligible,Unflagged,COC1=CC=C2C(SC(/C=C/C=C/C3=CN=C(NC)C=C3)=[N+]2CC)=C1
61,9/16/17,T,T004,0.1,0.4,,0.6,0.8,0.9,1,1.1,1.2,1.5,,,libv1,libv2,libv3,libv4,,tech_final,BSB,Negligible,Unflagged,OC(C1=C(O)C=CC(/C=C/C2=CC=C(/C=C/C3=CC(C(O)=O)=C(O)C=C3)C(F)=C2)=C1)=O
62,9/16/17,T,T008,0.1,0.4,,0.6,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,K114,Negligible,Unflagged,OC1=CC=C(/C=C/C2=CC=C(/C=C/C3=CC=C(O)C=C3)C=C2Br)C=C1
63,9/16/17,T,T009,0.1,0.4,,0.6,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,Resorufin B.E.,Negligible,Unflagged,O=C1C=CC(C(O2)=C1)=NC3=C2C=C(OCC4=CC=CC=C4)C=C3
64,9/16/17,T,T010,0.1,0.4,,0.6,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,Resorufin E.E.,Negligible,Unflagged,O=C1C=CC(C(O2)=C1)=NC3=C2C=C(OCC)C=C3
65,9/16/17,T,T011,0.1,0.4,,0.6,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,Resorufin,Major_reject_immediately,Unflagged,OC1=CC2=C(N=C(C=C3)C(O2)=CC3=O)C=C1
66,9/16/17,T,T014,0.1,0.4,,0.6,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,Congo Red,Negligible,Unflagged,NC1=C(/N=N/C2=CC=C(C3=CC=C(/N=N/C4=C(N)C(C=CC=C5)=C5C(S(=O)([O-])=O)=C4)C=C3)C=C2)C=C(S(=O)([O-])=O)C6=C1C=CC=C6
67,9/16/17,T,T016,0.1,0.4,,0.6,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,NIAD4,Minor_retain_temporarily,Unflagged,OC(C=C1)=CC=C1C2=CC=C(C3=CC=C(/C=C(C)\C)S3)S2
68,9/16/17,T,T027,0.1,0.4,,0.6,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,Thiazine Red,Negligible,Unflagged,OC1=C2C(C=CC=C2)=C(S(=O)([O-])=O)C=C1/N=N/C(C=C3)=CC=C3C4=NC5=CC=C(C)C(S(=O)([O-])=O)=C5S4
21,9/10/17,C,C021,0.3,0.6,,,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,Nile Red,Major_reject_immediately,Unflagged,O=C1C=C2C(C3=C1C=CC=C3)=NC4=CC=C(N(CC)CC)C=C4O2
1,10/30/17,C,C001,0.3,0.6,,,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,LDS 698,Negligible,Unflagged,CN(C)C(C=C1)=CC=C1/C=C/C=C/C2=CC=CC=[N+]2CC
2,10/30/17,C,C002,0.3,0.6,,,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,LDS 722,Negligible,Unflagged,CC[N+]1=CC=C(/C=C/C=C/C2=CC=C(N(C)C)C=C2)C=C1
3,10/30/17,C,C003,0.3,0.6,,,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,LDS 730,Minor_retain_temporarily,Unflagged,CN(C)C(C=C1)=CC=C1/C=C/C=C/C2=[N+](C)C(C=CC=C3)=C3C2(C)C
4,10/30/17,C,C004,0.3,0.6,,,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,PBB5 (aka Amb615160),Minor_retain_temporarily,Unflagged,CN(C)C1=CC=C(/C=C/C=C/C2=[N+](C)C(C=CC=C3)=C3S2)C=C1
5,10/30/17,C,C005,0.3,0.6,,,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,CRANAD-2,Major_reject_immediately,Unflagged,CN(C)C1=CC=C(/C=C/C2=OB(F)(F)OC(/C=C/C3=CC=C(N(C)C)C=C3)=C2)C=C1
6,10/30/17,C,C006,0.3,0.6,,,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,THK 265,Major_reject_immediately,Unflagged,S=C(NC(/C1=C\C=C\C=C\C2C(NC(NC2=O)=S)=O)=O)NC1=O
7,10/30/17,C,C007,0.3,0.6,,,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,BAP1,Major_reject_immediately,Unflagged,FB1(F)[N]2=CC=CC2=CC3=C(C)C=C(/C=C/C4=CC=C(N(C)C)C=C4)N13
8,10/30/17,C,C008,0.3,0.6,,,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,ThT,Negligible,Unflagged,CN(C)C(C=C1)=CC=C1C2=[N+](C)C3=CC=C(C)C=C3S2
9,10/30/17,C,C009,0.3,0.6,,,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,DCM 6490,Major_reject_immediately,Reactive,CC(OC(/C=C/C1=CC=C(N(C)C)C=C1)=C/2)=CC2=C(C#N)\C#N
10,10/30/17,C,C010,0.3,0.6,,,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,LDS 798,Negligible,Unflagged,CC[N+]1=C(C=CC=C2)C2=C(/C=C/C=C/C3=CC=C(N(C)C)C=C3)C=C1
11,10/30/17,C,C011,0.3,0.6,,,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,Amb 1861079,Negligible,Unflagged,CN(C)C1=CC=C(/C=C/C=C2C(N(C3=CC=CC=C3)C(NC\2=O)=O)=O)C=C1
12,10/30/17,C,C012,0.3,0.6,,,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,Amb 2442356,Negligible,Unflagged,CN(C)C(C=C1)=CC=C1/C=C/C=C/C2=CC=CC=[N+]2C
13,10/30/17,C,C013,0.3,0.6,,,0.8,0.9,1,1.1,1.2,1.5,,,libv1,,,,,,Amb 1484600,Negligible,Unflagged,O=C(C1=C(O)C=C(C)OC1=O)/C=C/C=C/C2=CC=C(N(C)C)C=C2
